"","GEO_ID","NAME.y","YEAR_FINAL","OBJECTID","MUP_APNO","APTYPE","NEW","DEMO","NET_UNITS","SLEEPING_ROOMS","VALUE","DWELTYPE","COMMENTS","YEAR_ISSUED","VILLNUMB","NAME.x","TYPE_NAME","COMP_PLAN_NAME","COMP_PLAN_TYPE","CRA_NO","CRA","NEIGHBORHOOD","C_DISTRICT","SOURCE","STATUS_COLOR","ZONING_FULL","ZONING_PRIMARY","ZONING_REPORT","CATEGORY","CLASS","CONSTR_PRMT_PARENT","Q_ISSUED","Q_Y_ISSUED","Q_FINAL","Q_Y_FINAL","CONDO_Y_N","INSPECTION_DATE","INSPECTION_TYPE","totalEstPop","totalEstWhite","totalEstBlack","totalEstAIAN","totalEstAsian","totalEstNHPI","totalEstOther","totalTwoRaces","totalTwoRacesIncOther","totalTwoRacesExcOther","percWhite","totalEstNonWhite","percNonWhite","percMaxRace","isMaxWhite"
"1","1500000US530330050001","Block Group 1, Census Tract 50, King County, Washington",2013,12333,3013413,"Construction Permit",2,0,2,0,387003,"Townhouse","Establish use as townhouses and construct new duplex with attached garage per plan.",2012,203,"Wallingford","Residential Urban Village","Wallingford","Residential Urban Villages",11.2,"Wallingford","Lake Union",4,"HAN","#001a73","LR2","LR2","LR2","LR2","L","",3,"2012_3",2,"2013_2","N","2013/06/12 00:00:00+00","Building Final",1416,1200,0,0,94,0,0,122,0,122,84.7457627118644,94,6.63841807909604,84.7457627118644,TRUE
"2","1500000US530330050001","Block Group 1, Census Tract 50, King County, Washington",2013,12602,3013413,"Construction Permit",2,0,2,0,400847,"Townhouse","Establish use as rowhouse and construct new duplex with attached garage per plan.",2012,203,"Wallingford","Residential Urban Village","Wallingford","Residential Urban Villages",11.2,"Wallingford","Lake Union",4,"HAN","#001a73","LR2","LR2","LR2","LR2","L","",3,"2012_3",2,"2013_2","N","2013/05/30 00:00:00+00","Building Final",1416,1200,0,0,94,0,0,122,0,122,84.7457627118644,94,6.63841807909604,84.7457627118644,TRUE
"3","1500000US530330050001","Block Group 1, Census Tract 50, King County, Washington",2014,18465,NA,"Construction Permit",1,0,1,0,10000,"Apartment","Interior non-structural alterations to convert a first floor community room in a 10-unit apartment building to an 11th dwelling unit, and occupy per plans.",2013,0,"Outside Villages","Outside Villages","Outside Villages","Outside Villages",11.2,"Wallingford","Lake Union",4,"HAN","#001a73","C1-40","C1-40","C1-40","C1","C","",3,"2013_3",2,"2014_2","Y","2014/06/20 00:00:00+00","Building Final",1445,1281,0,0,67,0,0,97,0,97,88.6505190311419,67,4.63667820069204,88.6505190311419,TRUE
"4","1500000US530330050001","Block Group 1, Census Tract 50, King County, Washington",2015,20765,3010295,"Construction Permit",0,1,-1,0,3500,"Detached Single-Family","Substantial alterations to existing single family residence, and occupy as school, per plans.",2014,0,"Outside Villages","Outside Villages","Outside Villages","Outside Villages",11.2,"Wallingford","Lake Union",4,"HAN","#001a73","SF 5000","SF 5000","SF 5000","SF 5000","SF","",2,"2014_2",3,"2015_3","N","2015/07/13 00:00:00+00","Building Final",1478,1310,0,0,94,0,0,74,0,74,88.6332882273342,94,6.35994587280108,88.6332882273342,TRUE
"5","1500000US530330050001","Block Group 1, Census Tract 50, King County, Washington",2016,12580,NA,"Demolition Permit",0,1,-1,0,0,"Detached Single-Family","Demolish two retail buildings located on parcel. Subject to field inspection (STFI)",2016,203,"Wallingford","Residential Urban Village","Wallingford","Residential Urban Villages",11.2,"Wallingford","Lake Union",4,"HAN","#001a73","NONE","UNKNOWN","UNKNOWN","UNKNOWN","UNK","6467882-CN",1,"2016_1",3,"2016_3","Y","2016/09/27 00:00:00+00","Final",1469,1200,18,0,100,0,0,151,0,151,81.6882232811436,118,8.03267528931246,81.6882232811436,TRUE
"6","1500000US530330050001","Block Group 1, Census Tract 50, King County, Washington",2016,20381,NA,"Demolition Permit",0,2,-2,0,0,"Detached Single-Family","Demolish Single Family Duplex. Subject to field inspection (STFI)",2016,203,"Wallingford","Residential Urban Village","Wallingford","Residential Urban Villages",11.2,"Wallingford","Lake Union",4,"HAN","#001a73","NONE","UNKNOWN","UNKNOWN","UNKNOWN","UNK","6467882-CN",1,"2016_1",3,"2016_3","Y","2016/09/27 00:00:00+00","Final",1469,1200,18,0,100,0,0,151,0,151,81.6882232811436,118,8.03267528931246,81.6882232811436,TRUE
"7","1500000US530330050001","Block Group 1, Census Tract 50, King County, Washington",2016,20187,NA,"Demolition Permit",0,1,-1,0,0,"Detached Single-Family","Demolish Single Family Residence. Subject to field inspection (STFI)",2016,203,"Wallingford","Residential Urban Village","Wallingford","Residential Urban Villages",11.2,"Wallingford","Lake Union",4,"HAN","#001a73","NONE","UNKNOWN","UNKNOWN","UNKNOWN","UNK","6467882-CN",1,"2016_1",3,"2016_3","Y","2016/09/27 00:00:00+00","Final",1469,1200,18,0,100,0,0,151,0,151,81.6882232811436,118,8.03267528931246,81.6882232811436,TRUE
"8","1500000US530330050001","Block Group 1, Census Tract 50, King County, Washington",2016,19868,NA,"Demolition Permit",0,1,-1,0,0,"Detached Single-Family","Demolish Single Family Residence. Subject to field inspection (STFI)",2016,203,"Wallingford","Residential Urban Village","Wallingford","Residential Urban Villages",11.2,"Wallingford","Lake Union",4,"HAN","#001a73","NONE","UNKNOWN","UNKNOWN","UNKNOWN","UNK","6467882-CN",1,"2016_1",3,"2016_3","Y","2016/09/27 00:00:00+00","Final",1469,1200,18,0,100,0,0,151,0,151,81.6882232811436,118,8.03267528931246,81.6882232811436,TRUE
"9","1500000US530330050001","Block Group 1, Census Tract 50, King County, Washington",2017,26934,NA,"Demolition Permit",0,2,-2,0,0,"Multifamily Ground Level Townhouse","Demolish existing duplex per abatement order #1008116",2006,0,"Outside Villages","Outside Villages","Outside Villages","Outside Villages",11.2,"Wallingford","Lake Union",4,"HAN","#001a73","C1-40","C1-40","C1-40","C1","C","",2,"2006_2",1,"2017_1","N","","",1743,1450,20,0,117,0,0,156,0,156,83.1899024670109,137,7.86001147446931,83.1899024670109,TRUE
"10","1500000US530330050001","Block Group 1, Census Tract 50, King County, Washington",2017,11264,NA,"Demolition Permit",0,1,-1,0,0,"Detached Single-Family","Demolition of single family residence and accessory structures, per plan, subject to field inspection (STFI).",2016,203,"Wallingford","Residential Urban Village","Wallingford","Residential Urban Villages",11.2,"Wallingford","Lake Union",4,"HAN","#001a73","SF 5000","SF 5000","SF 5000","SF 5000","SF","6495399-CN",2,"2016_2",3,"2017_3","N","2017/07/20 00:00:00+00","Final",1743,1450,20,0,117,0,0,156,0,156,83.1899024670109,137,7.86001147446931,83.1899024670109,TRUE
